delay,freq,condition,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Fixation.started,Fixation.stopped,Polygon.started,Polygon.stopped,key_Resp.keys,key_Resp.rt,key_Resp.started,key_Resp.stopped,Sound_1.started,Sound_1.stopped,display_text.started,display_text.stopped,slider.response,slider.rt,slider.started,slider.stopped,participant,session,date,expName,psychopyVersion,frameRate
0.7,1000,unexp,6,5,65,2,637.0054254,642.0087062,643.9918722,None,space,0.2832769,643.9918722,None,644.9754187,None,645.3639103,None,1.937499911,1.2876004,645.3639103,None,763336,1,2023-10-27_14h43.33.657,Intentional Binding,2022.1.4,60.12263816
0.7,400,exp,6,6,66,5,646.6403895,651.6416135,653.6251379,None,space,0.4206182,653.6251379,None,654.7596171,None,655.1550182,None,2.007812411,2.1794539,655.1550182,None,763336,1,2023-10-27_14h43.33.657,Intentional Binding,2022.1.4,60.12263816
0.4,400,exp,6,7,67,7,657.3209137,662.3246636,664.3077022,None,space,1.3455538,664.3077022,None,666.0585321,None,666.4530987,None,2.007812411,1.0235306,666.4530987,None,763336,1,2023-10-27_14h43.33.657,Intentional Binding,2022.1.4,60.12263816
0.4,1000,unexp,6,8,68,1,667.4538075,672.4574064,674.4412935,None,space,1.1706443,674.4412935,None,676.0248377,None,676.4119538,None,1.058593661,1.5946022,676.4119538,None,763336,1,2023-10-27_14h43.33.657,Intentional Binding,2022.1.4,60.12263816
0.4,1000,unexp,6,9,69,4,677.9886709,682.9905252,684.9734036,None,space,0.9122684,684.9734036,None,686.2909238,None,686.6870048,None,1.972656161,2.4706852,686.6870048,None,763336,1,2023-10-27_14h43.33.657,Intentional Binding,2022.1.4,60.12263816
0.1,400,exp,7,0,70,9,689.1375317,694.1397379,696.1229082,None,space,0.4128915,696.1229082,None,696.6401406,None,697.0294896,None,1.972656161,0.8377423,697.0294896,None,763336,1,2023-10-27_14h43.33.657,Intentional Binding,2022.1.4,60.12263816
0.4,400,exp,7,1,71,7,697.8541381,702.8559137,704.8389449,None,space,0.2834777,704.8389449,None,705.5227332,None,705.9094905,None,1.046875089,1.0206397,705.9094905,None,763336,1,2023-10-27_14h43.33.657,Intentional Binding,2022.1.4,60.12263816
0.4,1000,unexp,7,2,72,4,706.9186662,711.9221074,713.9070533,None,space,0.3904877,713.9070533,None,714.7057887,None,715.0890768,None,1,2.6792178,715.0890768,None,763336,1,2023-10-27_14h43.33.657,Intentional Binding,2022.1.4,60.12263816
0.1,1000,unexp,7,3,73,0,717.7532384,722.7552275,724.7380606,None,space,0.7219526,724.7380606,None,725.5727969,None,725.9607421,None,1,2.6079393,725.9607421,None,763336,1,2023-10-27_14h43.33.657,Intentional Binding,2022.1.4,60.12263816
0.1,1000,unexp,7,4,74,3,728.5523921,733.5545931,735.5377209,None,space,0.4172312,735.5377209,None,736.0551912,None,736.4403639,None,1,1.2745651,736.4403639,None,763336,1,2023-10-27_14h43.33.657,Intentional Binding,2022.1.4,60.12263816
